DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_C
7872603,1,1,22.524746651067
7953465,1,2,23.5826613038633
7719657,1,1,23.7104721303591
7991227,1,1,31.0151801219123
8018354,1,1,18.6813350386272
7987368,1,2,17.8125980059455
7716268,1,1,20.1313024517926
7875180,1,1,14.4129205563609
7894067,1,2,16.7089698976155
7901302,1,3,15.1899726341959
8018350,1,1,9.70615122715623
7871048,1,1,15.3927797685783
7668047,1,2,8.30161081101517
7749593,1,1,19.3737205249002
8010276,1,2,28.4689193597775
7703318,1,1,39.1336734968627
7720758,1,3,19.1299466001284
7772938,1,1,18.3275494744473
7875191,1,3,24.5577937160799
7747925,1,1,11.5196870131301
7723158,1,2,6.40211623506136
8016576,1,2,38.5218751055114
7986017,1,2,32.824068856078
7863894,1,3,16.6554445508539
7910145,1,1,8.89844272997248
7728761,1,1,65.6512540071978
7698720,1,1,34.66150608604
7898446,1,1,14.7919915757151
7772937,1,1,13.1517474441606
7863878,1,1,14.8282742616165
7713751,1,1,17.7828540977693
7695411,1,1,16.4482976409284
7992417,1,3,19.0462735236579
7992390,1,1,27.3912462423281
7781623,1,3,16.3984789308827
7875168,1,1,16.5391475640084
7871044,1,1,10.9470075495612
7805846,1,1,23.5338207387054
7780561,1,2,25.1210121470407
7776722,1,3,7.29933326631014
7772945,1,2,17.0336140237185
7756187,1,3,8.96745186935061
7875186,1,1,23.7185163573826
7695420,1,2,17.6247782449908
7960001,1,2,22.7065401273521
7800021,2,1,14.7711177461447
8018346,1,1,21.2140003507081
7627474,1,1,9.06502947153921
7871033,1,1,14.6888863061654
7749604,2,1,19.027965360994
7798994,1,1,11.4503215416968
7809372,1,4,18.7899514690303
7863876,1,1,19.462042235015
7987371,1,3,14.7987851696941
7685544,1,2,11.3690878129943
7809395,1,1,18.0160726576308
7756208,1,1,16.0359929067812
7756210,1,1,18.5725098361615
7698716,1,2,28.0042774561676
7661485,1,1,25.0110945119961
7867287,1,1,22.2340152212798
7627478,1,2,18.1292628730851
7744678,1,1,42.685356269529
7960007,1,2,13.8467586388868
7967090,1,1,17.4448064703801
7647290,1,1,34.4513165387181
7772941,1,1,14.4073836315857
7637033,1,1,32.6341060975411
7742105,1,2,21.9738668711593
7775231,1,2,23.5855350416247
7719667,1,1,7.34196996304066
7987373,1,1,18.2204208055198
7784459,1,1,11.3951410942908
7775235,1,1,10.5997656182443
7668063,1,1,36.1181977364148
7805851,1,2,24.9316231621949
7815933,1,1,26.2759084682023
7719658,1,1,8.61861345915634
7910158,1,1,20.494022566572
7713749,1,4,12.8475323153979
7713761,1,1,22.8909761549876
7754873,1,2,27.0633333269458
7809386,1,1,19.45751304389
7910163,1,1,8.18356412590754
7965515,1,1,34.4602998058583
7863896,1,2,9.07473859947667
7668060,1,1,31.1624731807108
7804798,1,1,14.875699034836
7899295,1,2,37.2254724292631
7744676,1,3,29.9582499533206
7696721,1,1,27.0305523928467
7633593,1,1,10.3600336817591
7671761,1,1,21.0935210902729
7728802,1,2,26.6582265097097
7629790,1,5,9.06502947153921
7992404,1,2,11.3290509392126
7903931,1,1,29.4014729145531
7780562,1,1,26.4010083088322
7728793,1,1,19.0219166589468
7723127,1,1,18.7289804904444
7863877,1,2,21.3770155561329
7994725,1,1,32.3918592098129
7690941,1,1,21.7122353893946
7690005,1,1,17.2640048768408
7780545,1,1,23.0701409232863
7770610,1,2,14.5746777250859
7723161,1,1,26.4164940640367
7719659,1,2,15.5102408783765
7969934,1,2,18.8984271113172
7775219,1,2,10.7056887905882
7953451,1,3,16.1453649537767
7809371,1,1,29.572510424821
7986012,1,3,19.7888269241966
7809420,1,1,22.4862188203629
7953452,1,2,21.5917277564465
7784433,1,1,16.8524659989323
7661487,1,2,13.8906229375425
7987376,1,1,17.2087958669878
7894063,1,2,16.435546195239
7863894,1,1,16.6554445508539
7992392,1,3,16.9334711971627
7713753,1,1,20.4924732995964
7668070,1,1,12.505547255998
7775229,1,2,16.9751107548662
7901301,1,3,7.65216385799147
7863895,1,2,17.8400641860516
7987371,1,1,14.7987851696941
7759028,1,2,18.0723060272497
7780565,1,1,22.2158584107296
7965530,1,2,22.6527897743643
7910141,1,1,25.617528208215
7696700,1,2,10.4582415908868
7723135,1,2,14.2177208051785
7992392,1,7,16.9334711971627
7991240,1,1,62.498135218398
7981688,1,2,26.7455375864339
7747922,1,1,13.6503769576091
7780552,1,1,33.7326538184337
7898443,1,2,20.1080612206933
7756194,1,1,23.9462296058859
8010285,1,1,26.1818492944314
7987383,1,1,8.01688770283449
7696700,1,1,10.4582415908868
7723160,1,1,26.1597770105192
7637037,1,1,32.6341060975411
7981681,1,1,22.529443558029
7871032,1,2,15.2395117715106
7770608,1,1,26.3509509535377
7965508,1,2,26.1805689639968
7723131,1,2,15.2914422571596
7987384,1,1,22.2513022795348
7723131,1,3,15.2914422571596
7668051,1,1,12.2725940888861
7692694,1,6,7.92083016498803
7905641,1,1,14.1686534427296
7637044,1,1,24.1734119241046
7742093,1,1,17.7241434262501
7858774,1,3,23.8757987049247
7875196,1,1,11.7406102313388
7633605,1,2,13.4296732911692
7720773,1,2,21.7831678236909
8018347,1,2,26.4396720870624
7898445,1,2,19.1258648294173
7747905,1,1,50.0633915393259
7636946,1,1,61.0703135422491
7867208,1,1,79.5793675233227
8010258,1,1,109.793536992345
7780478,1,1,36.9488337055998
7636948,1,1,55.0077876091871
7738915,1,1,66.7118064754599
8010243,1,1,36.9488337055998
7894031,1,1,65.1330552537763
7747897,1,1,36.9488337055998
7690896,1,1,38.2072652053025
7747900,1,1,80.0962638427615
7690897,1,1,87.6568382320559
7636945,1,2,62.8751945563233
7747889,1,1,62.1398834168729
7894050,1,1,40.7107833858974
7966944,1,3,65.0400116211965
7675663,1,2,40.7107833858974
7966941,1,2,54.1160271746809
7754849,1,1,98.887497269497
7636941,1,2,50.890631528544
8010262,1,1,37.2588502022924
7636940,1,1,34.471229256316
7636939,1,2,103.921927912469
7747898,1,1,50.0633915393259
7675662,1,4,107.027059190777
7747902,1,1,96.7900850520364
7867221,1,1,62.1398834168729
7867194,1,2,40.7107833858974
7689972,1,2,233.974742046641
7987357,1,1,263.568644386976
7689953,1,1,146.481050935289
7690914,1,2,209.693066878788
7987355,1,2,235.089749625388
7689970,1,1,353.698080615365
7689966,1,1,416.149945551631
7987364,1,1,468.893046983309
7689951,1,3,320.261367436308
7689993,1,1,91.7096732363295
7689995,1,2,91.7096732363295
7689988,1,1,179.269401984681
